ILEADSAddress,ILEADSStreet,CITY,STATE,fullSearch,lat,lon,lat_lon_combo
0,I 70 EASTBOUND / OFA,St. Louis,MO,"0 I 70 EASTBOUND / OFA, St. Louis, MO",NA,NA,
2039,E OBEAR AVE,St. Louis,MO,"2039 E OBEAR AVE, St. Louis, MO",38.6707531,-90.2127322,
0,I 70 EASTBOUND / ADE,St. Louis,MO,"0 I 70 EASTBOUND / ADE, St. Louis, MO",NA,NA,
2100,E LINTON AVE,St. Louis,MO,"2100 E LINTON AVE, St. Louis, MO",38.6740253,-90.2154994,
1422,MELVIN E COLLINS WAL,St. Louis,MO,"1422 MELVIN E COLLINS WAL, St. Louis, MO",38.7135263,-90.2884986,
4600,DR MARTIN LUTHER KIN,St. Louis,MO,"4600 DR MARTIN LUTHER KIN, St. Louis, MO",38.6587539,-90.2536786,
0,HALLS FERRY CIR / RI,St. Louis,MO,"0 HALLS FERRY CIR / RI, St. Louis, MO",38.7225288,-90.2423602,
1521,CASTLE LN,St. Louis,MO,"1521 CASTLE LN, St. Louis, MO",38.6191053,-90.2091065,
1502,E COLLEGE AVE,St. Louis,MO,"1502 E COLLEGE AVE, St. Louis, MO",38.6767964,-90.2140205,
0,FARLIN AVE / WALBRID,St. Louis,MO,"0 FARLIN AVE / WALBRID, St. Louis, MO",,,"38.6787605,-90.2498119"
1723,OFALLON ST,St. Louis,MO,"1723 OFALLON ST, St. Louis, MO",,,"38.6400813,-90.2029712"
4608,DR MARTIN LUTHER KIN,St. Louis,MO,"4608 DR MARTIN LUTHER KIN, St. Louis, MO",,,"38.6587031,-90.2546125"
0,CHOUTEAU AVE / S SAR,St. Louis,MO,"0 CHOUTEAU AVE / S SAR, St. Louis, MO",,,"38.6282409,-90.2522925"
3122,N PRAIRIE AVE,St. Louis,MO,"3122 N PRAIRIE AVE, St. Louis, MO",,,"38.6604724,-90.2238624"
901,CONVENTION PZ,St. Louis,MO,"901 CONVENTION PZ, St. Louis, MO",,,"38.633042,-90.1948067"
